country_code	domain_code	actual
PL	0018d00000WDHbdAAH	6695
HK	0018d00000K0aQyAAJ	6690
BR	0018d00000K0V2EAAV	6675.199492
KR	0018d00000K0WOhAAN	6617.572069
BR	0018d00000K0TnJAAV	6598.242637
MY	001Pz000002qDCxIAM	6579.273386
AU	0018d00000K0VQyAAN	6560.839894
US	0018d00000K0XuPAAV	6550
MX	0018d00000K0YSeAAN	6548
BR	0018d00000K0WnCAAV	6540.814694
UK	0018d00000KPlGpAAL	6525.441073
SC	0018d00000K0VFuAAN	6523
AU	0018d00000K0aXtAAJ	6505.783161
SG	0018d00000K0X63AAF	6480
AU	0018d00000K0ZyPAAV	6478.91178
UK	0018d00000Uz4dXAAR	6470.00211
PL	0018d00000K0c1eAAB	6456.353417
BR	0018d00000cc3SNAAY	6431.801282
ES	0018d00000K0XqxAAF	6413.449246
TR	0018d00000K0YsNAAV	6405.269998
TR	0018d00000K0ZbyAAF	6389.646465
BR	0018d00000K0bmKAAR	6381.456002
AE	0018d00000K0W9EAAV	6348
HK	0018d00000K0ZptAAF	6342
PL	0018d00000K0VjbAAF	6324.717857
KR	0018d00000K0af1AAB	6316.104
TR	0018d00000K0WvzAAF	6306.847209
AE	0018d00000K0bLPAAZ	6306
AE	0018d00000K0Vp0AAF	6300
TH	0018d00000K0YVRAA3	6300
ID	0018d00000K0XsZAAV	6300
UK	0018d00000ccOc7AAE	6299.904425
PL	0018d00000K0VqDAAV	6285.786259
FR	0018d00000K0acpAAB	6274.967665
TW	001Pz000006XLbmIAG	6260.257378
AU	0018d00000PQMMVAA5	6254.755168
TH	0018d00000K0TgqAAF	6251
HK	0018d00000K0c9jAAB	6242
MY	0018d00000K0XtnAAF	6228
RU	0018d00000K0VQMAA3	6213.479443
ES	0018d00000K0c7YAAR	6178.67906
BR	0018d00000K0WyKAAV	6155.302856
BR	0018d00000LbtTlAAJ	6144.4015
SC	0018d00000K0bZ9AAJ	6121
TR	0018d00000K0aCJAAZ	6108.126875
TR	0018d00000K0W23AAF	6092.816941
MX	0018d00000K0bGuAAJ	6079
BR	0018d00000K0ZZpAAN	6072.650737
NL	001Pz000008CiiFIAS	6067.245328
AE	0018d00000l58H4AAI	6065
AE	0018d00000K0VVIAA3	6057
TW	0018d00000K0Wc2AAF	6056.799064
SG	0018d00000K0WGMAA3	6045.735358
VN	0018d00000K0Y03AAF	6030
TW	0018d00000K0bfyAAB	6020
VN	0018d00000K0Z4PAAV	6000
PH	001Pz000006iz4MIAQ	6000
ES	0018d00000K0ZhvAAF	5974.743527
UK	0018d00000K0arvAAB	5964.749389
PL	0018d00000K0YDkAAN	5962.943885
FR	0018d00000K0VLiAAN	5950.400846
NL	0018d00000Ol5hDAAR	5950.400766
BR	0018d00000K0WNZAA3	5946.195199
BR	0018d00000K0WCeAAN	5946.195187
HK	0018d00000K0WaGAAV	5944
SG	0018d00000K0c9oAAB	5932
TH	0018d00000K0TqTAAV	5900
US	0018d00000K0ZqPAAV	5900
NL	0018d00000K0VkCAAV	5895.224266
TR	0018d00000K0UBLAA3	5889.723429
AU	0018d00000WDmQSAA1	5879.194045
AE	0018d00000XfthKAAR	5868
ID	0018d00000K0c9kAAB	5856
KR	0018d00000K0YtsAAF	5849.197576
BR	0018d00000T3GY9AAN	5825.09085
HK	0018d00000K0ZdHAAV	5789
TR	0018d00000K0YHsAAN	5786.613932
TR	0018d00000K0bW6AAJ	5780.364063
NL	0018d00000K0cRUAAZ	5768.642375
TW	0018d00000K0XOFAA3	5759.436567
BR	0018d00000S7kDlAAJ	5756.115408
TR	0018d00000K0UIvAAN	5751.744349
ES	001Pz000002cWwzIAE	5740
NL	0018d00000K0UcgAAF	5731.858415
TR	0018d00000K0UTBAA3	5717.561839
FR	0018d00000K0XXJAA3	5679.927751
TH	0018d00000K0WGtAAN	5665
TW	0018d00000icXdDAAU	5649.881694
TR	0018d00000PQK9LAAX	5624.138847
TR	0018d00000K0UdcAAF	5624.138511
AU	0018d00000K0b21AAB	5620.954447
AU	0018d00000K0bYbAAJ	5612.435113
TR	0018d00000T4GXIAA3	5604.98
AU	0018d00000K0VXKAA3	5597.360154
VN	0018d00000K0YVFAA3	5594
AE	0018d00000K0WncAAF	5586
TR	0018d00000K0WIsAAN	5561.647834
